village,district,state,N,P,K,pH,OC,B,Fe,Zn,S,Temperature,Humidity,Rainfall_monthly,cycle,district_code,state_code,farms_averaged
Reewa,Raipur,Chhattisgarh,169.34,11.13,107.24,6.75,0.32,1.0,14.69,0.8,21.88,27.0,72,130,2025-26,387,22,4
Seoni-2 (Seoni),Raipur,Chhattisgarh,140.49,11.47,267.18,6.88,0.44,1.8,16.97,0.76,17.25,27.0,72,130,2025-26,387,22,5
Tekari-1 (Tekari),Raipur,Chhattisgarh,112.89,5.37,154.56,6.6,0.35,3.0,16.31,0.96,25.0,27.0,72,130,2025-26,387,22,1
Anko,Rajnandgaon,Chhattisgarh,192.8,10.1,76.83,7.42,0.55,0.79,39.36,0.29,7.46,27.0,72,130,2025-26,388,22,5
Ari,Rajnandgaon,Chhattisgarh,172.58,5.21,184.76,7.07,0.86,2.11,15.58,0.62,7.56,27.0,72,130,2025-26,388,22,19
Bhondiya,Rajnandgaon,Chhattisgarh,200.5,7.22,132.4,6.9,0.14,4.34,8.06,0.25,15.07,27.0,72,130,2025-26,388,22,2
Dhamansara,Rajnandgaon,Chhattisgarh,187.71,9.59,199.0,6.64,0.69,1.11,8.8,0.42,5.91,27.0,72,130,2025-26,388,22,7
Dumardeeh Khurd,Rajnandgaon,Chhattisgarh,178.9,10.12,274.93,7.04,0.36,1.03,21.45,0.53,17.19,27.0,72,130,2025-26,388,22,10
Godalwahi,Rajnandgaon,Chhattisgarh,198.7,6.53,77.36,6.86,0.47,1.15,53.02,0.9,7.83,27.0,72,130,2025-26,388,22,20
Kirgi,Rajnandgaon,Chhattisgarh,171.4,10.9,61.39,7.08,0.68,1.27,10.36,0.51,12.69,27.0,72,130,2025-26,388,22,20
Pathandodgi,Rajnandgaon,Chhattisgarh,219.0,10.42,175.25,7.65,0.49,0.99,29.89,0.84,13.12,27.0,72,130,2025-26,388,22,2
Thakur Tola,Rajnandgaon,Chhattisgarh,100.0,8.68,47.6,7.3,0.98,1.79,19.48,0.57,8.32,27.0,72,130,2025-26,388,22,2
Andi,Sakti,Chhattisgarh,225.0,13.38,337.74,6.32,0.62,1.33,4.8,0.68,6.38,27.0,72,130,2024-25,762,22,1
Bhajpur,Sakti,Chhattisgarh,137.5,9.37,256.9,5.2,0.53,1.14,3.79,0.85,6.42,27.0,72,130,2024-25,762,22,2
Deogaon,Sakti,Chhattisgarh,225.0,13.51,307.58,6.13,0.22,1.17,6.31,1.02,4.74,27.0,72,130,2024-25,762,22,7
Deorimath,Sakti,Chhattisgarh,182.5,6.24,208.4,6.76,0.57,1.89,9.34,0.81,6.53,27.0,72,130,2024-25,762,22,2
Dumarpara,Sakti,Chhattisgarh,161.25,12.4,187.82,6.41,0.49,0.92,4.59,0.57,6.05,27.0,72,130,2024-25,762,22,10
Gudaroo Kala,Sakti,Chhattisgarh,87.5,156.99,636.85,6.66,0.97,0.11,8.32,0.49,3.96,27.0,72,130,2024-25,762,22,1
Jajang,Sakti,Chhattisgarh,196.25,27.03,29.38,6.47,0.16,0.78,5.15,0.73,4.87,27.0,72,130,2024-25,762,22,10
Khaira,Sakti,Chhattisgarh,146.34,28.45,236.81,6.43,0.38,1.1,5.51,0.63,15.98,27.0,72,130,2024-25,762,22,17
Mukta,Sakti,Chhattisgarh,256.25,18.72,250.61,6.12,0.83,1.61,4.71,0.78,3.25,27.0,72,130,2024-25,762,22,2
Pota,Sakti,Chhattisgarh,126.88,16.33,356.77,6.53,1.03,1.54,5.42,0.74,5.4,27.0,72,130,2024-25,762,22,16
Amlidih,Sarangarh Bilaigarh,Chhattisgarh,215.75,20.9,382.87,6.67,0.36,0.4,17.88,0.54,30.7,27.0,72,130,2024-25,763,22,9
Balaudi,Sarangarh Bilaigarh,Chhattisgarh,216.63,16.46,194.79,6.82,1.18,0.47,9.81,1.38,32.11,27.0,72,130,2024-25,763,22,38
Barpali,Sarangarh Bilaigarh,Chhattisgarh,163.67,19.77,284.48,5.83,0.43,0.1,32.01,0.4,23.75,27.0,72,130,2024-25,763,22,1
Behara Bahal,Sarangarh Bilaigarh,Chhattisgarh,238.88,17.06,327.28,6.83,0.47,0.42,9.97,0.59,30.81,27.0,72,130,2024-25,763,22,23
Churela,Sarangarh Bilaigarh,Chhattisgarh,209.07,20.01,431.47,6.49,0.45,0.53,11.66,0.48,22.92,27.0,72,130,2024-25,763,22,3
Dongripali,Sarangarh Bilaigarh,Chhattisgarh,225.79,17.02,196.6,5.92,0.26,0.3,4.5,0.38,28.75,27.0,72,130,2024-25,763,22,1
Gatadih,Sarangarh Bilaigarh,Chhattisgarh,215.62,20.33,378.87,5.85,0.47,0.52,13.08,0.49,32.03,27.0,72,130,2024-25,763,22,16
Ghathora,Sarangarh Bilaigarh,Chhattisgarh,239.1,15.45,367.08,6.97,0.47,0.38,11.67,0.7,32.07,27.0,72,130,2024-25,763,22,24
Gindola,Sarangarh Bilaigarh,Chhattisgarh,221.61,19.41,371.09,6.69,0.38,0.17,25.41,0.32,24.17,27.0,72,130,2024-25,763,22,3
Kanthipali,Sarangarh Bilaigarh,Chhattisgarh,205.26,19.37,410.11,6.66,0.32,0.41,11.37,0.34,27.16,27.0,72,130,2024-25,763,22,11
Kargipali,Sarangarh Bilaigarh,Chhattisgarh,275.97,20.38,293.44,6.91,0.56,0.22,7.93,0.51,30.94,27.0,72,130,2024-25,763,22,4
Khajari,Sarangarh Bilaigarh,Chhattisgarh,181.17,28.67,482.08,7.12,0.4,0.36,4.45,0.35,45.56,27.0,72,130,2024-25,763,22,9
Laladhurwa,Sarangarh Bilaigarh,Chhattisgarh,190.26,19.26,383.97,6.94,0.44,0.4,7.85,0.39,30.42,27.0,72,130,2024-25,763,22,6
Tamtora,Sarangarh Bilaigarh,Chhattisgarh,258.04,15.9,299.68,6.66,0.57,0.32,11.88,0.59,24.55,27.0,72,130,2024-25,763,22,14
Argatta,Sukma,Chhattisgarh,217.46,15.78,276.4,6.35,0.59,0.62,23.08,0.72,22.46,27.0,72,130,2024-25,642,22,28
Bagdeguda,Sukma,Chhattisgarh,168.85,21.83,237.04,6.72,0.59,0.55,5.92,0.45,6.63,27.0,72,130,2024-25,642,22,12
Chikaras,Sukma,Chhattisgarh,178.34,23.66,248.66,6.81,0.58,0.57,4.91,0.44,6.45,27.0,72,130,2024-25,642,22,9
Chikpal,Sukma,Chhattisgarh,174.02,12.98,287.51,6.65,0.67,0.54,12.44,0.78,12.88,27.0,72,130,2024-25,642,22,3
Chipurpal,Sukma,Chhattisgarh,209.71,17.49,244.52,5.63,0.55,0.52,5.49,0.44,0.51,27.0,72,130,2024-25,642,22,36
Dodpal,Sukma,Chhattisgarh,238.41,15.9,219.52,6.94,0.49,0.49,5.2,0.41,0.51,27.0,72,130,2024-25,642,22,1
Kerlapal,Sukma,Chhattisgarh,205.13,16.62,232.26,5.79,0.52,0.53,5.29,0.41,0.52,27.0,72,130,2024-25,642,22,27
Kokalpal,Sukma,Chhattisgarh,180.38,20.07,174.09,6.37,0.65,0.54,12.36,0.82,26.0,27.0,72,130,2024-25,642,22,3
Pariya,Sukma,Chhattisgarh,171.3,23.95,241.26,6.82,0.6,0.55,5.81,0.45,7.05,27.0,72,130,2024-25,642,22,40
Phaidaguda,Sukma,Chhattisgarh,201.76,18.81,170.72,6.34,0.66,0.53,8.88,1.0,19.52,27.0,72,130,2024-25,642,22,11
Samsatti,Sukma,Chhattisgarh,168.97,24.28,238.1,6.77,0.6,0.54,5.03,0.45,7.3,27.0,72,130,2024-25,642,22,25
Anantpur,Surajpur,Chhattisgarh,188.16,12.54,180.0,5.5,0.47,0.7,8.1,1.0,25.2,27.0,72,130,2025-26,648,22,1
Banki,Surajpur,Chhattisgarh,221.61,14.93,226.67,5.83,0.52,0.8,9.83,0.83,25.87,27.0,72,130,2025-26,648,22,3
Belami,Surajpur,Chhattisgarh,199.13,12.54,195.88,5.76,0.54,0.71,11.66,0.74,22.57,27.0,72,130,2025-26,648,22,8
Chandarpur,Surajpur,Chhattisgarh,216.46,14.88,193.42,5.7,0.52,0.72,12.78,0.71,25.34,27.0,72,130,2025-26,648,22,31
Dandkarwan,Surajpur,Chhattisgarh,200.7,12.54,201.0,5.9,0.5,0.7,7.6,0.4,26.4,27.0,72,130,2025-26,648,22,1
Ghuidih,Surajpur,Chhattisgarh,238.33,13.44,162.3,6.8,0.54,0.55,14.5,0.85,24.0,27.0,72,130,2025-26,648,22,2
Gonda,Surajpur,Chhattisgarh,193.73,14.07,197.83,5.46,0.43,0.74,9.54,0.75,23.67,27.0,72,130,2025-26,648,22,18
Kamalpur Alias Kotmi,Surajpur,Chhattisgarh,192.34,14.33,193.67,5.77,0.51,0.7,14.3,0.8,27.37,27.0,72,130,2025-26,648,22,3
Khadgawan Kalan,Surajpur,Chhattisgarh,206.97,14.34,165.5,5.9,0.52,0.65,8.7,0.85,15.78,27.0,72,130,2025-26,648,22,2
Pampapur,Surajpur,Chhattisgarh,216.15,13.73,196.28,5.83,0.54,0.76,9.71,0.75,24.45,27.0,72,130,2025-26,648,22,39
Rampur,Surajpur,Chhattisgarh,210.46,14.03,194.83,5.73,0.52,0.74,12.83,0.68,29.29,27.0,72,130,2025-26,648,22,18
Telgaon,Surajpur,Chhattisgarh,200.7,12.54,177.5,5.7,0.52,0.8,10.85,0.7,25.8,27.0,72,130,2025-26,648,22,2
Bharatpur,Surguja,Chhattisgarh,100.28,13.8,240.65,4.7,0.42,0.64,40.8,0.51,26.65,27.0,72,130,2025-26,389,22,2
Bhusu,Surguja,Chhattisgarh,204.88,17.67,152.0,6.13,0.48,0.37,36.57,0.63,23.47,27.0,72,130,2025-26,389,22,3
Chakeri,Surguja,Chhattisgarh,146.27,12.8,204.6,4.07,0.59,0.8,28.07,0.47,24.97,27.0,72,130,2025-26,389,22,3
Chidapara,Surguja,Chhattisgarh,100.3,12.92,232.91,4.54,0.49,0.7,34.56,0.53,26.76,27.0,72,130,2025-26,389,22,9
Hansuli,Surguja,Chhattisgarh,156.75,13.4,192.2,4.53,0.66,0.72,37.72,0.42,27.3,27.0,72,130,2025-26,389,22,4
Jamira,Surguja,Chhattisgarh,238.9,14.52,271.71,5.66,0.61,0.66,25.94,0.48,26.14,27.0,72,130,2025-26,389,22,5
Keshma,Surguja,Chhattisgarh,106.19,12.65,374.3,4.15,1.01,0.65,45.3,0.36,26.75,27.0,72,130,2025-26,389,22,2
Khondhala,Surguja,Chhattisgarh,240.42,18.23,367.17,5.83,0.45,0.68,29.78,0.64,26.48,27.0,72,130,2025-26,389,22,6
Palgadhi,Surguja,Chhattisgarh,215.65,13.77,147.63,4.2,0.4,0.73,34.77,0.53,22.9,27.0,72,130,2025-26,389,22,32
Petla,Surguja,Chhattisgarh,235.78,18.62,164.88,5.15,0.47,0.68,37.44,0.58,24.84,27.0,72,130,2025-26,389,22,10
